listing_id,vin,make,model,year,trim,body_type,fuel_type,transmission,mileage,price,condition,location,seller_type,features
1,9M6LF68V634LY2252,Tesla,Model 3,2019,,Coupe,Electric,Manual,46134,19919.0,good,"New Lindsey, GA, US",Dealer,"Alloy Wheels, Android Auto, Apple CarPlay, Fog Lights, LED Headlights, Parking Sensors, Ventilated Seats"
2,1S0ZCY536BSCY2864,Nissan,Rogue,2024,LT,Sedan,Hybrid,Automatic,16109,19480.0,good,"Pughtown, CO, US",Dealer,"Alloy Wheels, Android Auto, Lane Keep Assist, Navigation, Panoramic Roof, Parking Sensors, Push Button Start, Wireless Charging"
3,YFB625BN0RTMZ5590,Hyundai,i20,2018,XLE,Crossover,Petrol,Automatic,173239,4556.0,good,"Satna, HR, India",Dealer,"Alloy Wheels, Bluetooth, Panoramic Roof, Sunroof"
4,CPMZ4RFN5WYL37096,Kia,Sportage,2023,EX,Hatchback,Diesel,CVT,36810,11536.0,fair,"山武市, Osaka, Japan",Certified Pre-Owned,"Alloy Wheels, Bluetooth, Keyless Entry, Navigation, Sunroof, Wireless Charging"
5,4PJZG3MV6D9365673,Kia,Seltos,2020,Trend,Pickup,Diesel,Automatic,87749,14098.0,good,"長生郡長生村, Osaka, Japan",Certified Pre-Owned,"Apple CarPlay, Backup Camera, Bluetooth, Heated Seats, Lane Keep Assist, Panoramic Roof, Push Button Start, Wireless Charging"
6,KAX8EMMZ5TW3E7946,Mercedes-Benz,GLA,2019,Platinum,Crossover,Electric,CVT,60853,17137.0,excellent,"Christopherfort, NB, Canada",Dealer,"Apple CarPlay, Backup Camera, Blind Spot Monitor, Heated Seats, Leather Seats, Navigation, Parking Sensors, Wireless Charging"
7,PKPJCG6R38JDU4213,Kia,Sorento,2013,EX,Coupe,Petrol,Manual,92762,2436.0,fair,"West Susanburgh, NB, Canada",Dealer,"Adaptive Cruise Control, Alloy Wheels, Apple CarPlay, Bluetooth, LED Headlights, Lane Keep Assist, Leather Seats, Push Button Start, Sunroof"
8,MF4L56LJ0YN6V9028,Tata,Altroz,2017,Long Range,Crossover,Petrol,CVT,204753,2620.0,excellent,"Perrot-sur-Mer, NAQ, France",Certified Pre-Owned,"Apple CarPlay, Backup Camera, Fog Lights, Heated Seats, Keyless Entry, Lane Keep Assist, Navigation, Ventilated Seats, Wireless Charging"
9,ZS09HE9J924E79381,Chevrolet,Silverado,2018,LT,Crossover,Petrol,CVT,103322,5325.0,good,"Lake Taylor, TAS, Australia",Dealer,"Adaptive Cruise Control, Alloy Wheels, Backup Camera, Blind Spot Monitor, Bluetooth, Fog Lights, Keyless Entry, Lane Keep Assist, Wireless Charging"
10,3F9LKB8C7ZC551661,Chevrolet,Silverado,2015,LX,Crossover,Electric,Manual,119321,2812.0,good,"Mckenzieside, TAS, Australia",Dealer,"Android Auto, Apple CarPlay, Blind Spot Monitor, LED Headlights, Ventilated Seats"
